# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
90903040 151.58386 +35.82165 188.49925 +54.01941 4536 1.04 -2.29 -150 0.45555 -4.72 0.48 0.62 0.054 11.346 15.94 3.96 3.94 12.92 17.31 21.61 -14.37
337904187 244.93204 +13.31546 27.88662 +39.59489 4806 1.57 -2.35 -97 0.72898 -3.60 0.64 0.68 0.397 11.965 10.81 2.91 3.70 6.91 3.95 7.96 -11.58
14108042 156.55070 +30.54963 198.00682 +58.14671 4312 0.41 -2.38 109 0.25462 -5.32 0.18 0.30 0.050 12.899 43.02 5.55 3.72 36.57 30.41 47.57 -17.10
8504030 87.18254 +27.95054 181.19725 +0.07389 4518 1.00 -2.19 -204 0.46273 -4.56 0.58 0.74 0.436 11.858 15.72 4.54 4.81 0.05 23.72 23.72 -12.24
241408110 179.59253 +7.57479 267.74373 +66.74901 4668 1.45 -2.28 252 0.72720 -4.32 0.62 0.82 0.159 10.289 7.76 2.44 2.57 7.16 8.68 11.25 -12.90
49203160 196.64050 +18.83235 326.46036 +81.00524 4570 0.96 -2.36 -116 0.86025 -4.58 0.54 0.68 0.080 12.317 23.09 6.21 6.52 22.83 5.37 23.46 -15.67
202716104 72.64864 +25.11246 176.12803 -12.23837 4553 1.16 -2.16 40 0.68992 -3.62 1.12 1.28 0.363 11.083 7.38 3.29 4.98 -1.54 15.20 15.28 -10.65
267612130 352.71222 +10.22995 92.60091 -47.83931 4774 1.58 -2.31 -167 0.64948 -3.82 0.48 0.48 0.097 8.916 3.37 0.67 0.83 -2.47 8.41 8.77 -8.84
341814196 262.35049 +20.30015 43.18757 +26.78489 4596 1.12 -2.31 -53 0.57266 -4.56 0.46 0.52 0.108 12.833 28.64 6.10 6.76 12.93 20.48 24.22 -14.07
152909088 191.24242 +58.34420 124.56846 +58.76349 4682 1.36 -2.26 -73 0.64036 -4.20 0.66 0.80 0.138 11.033 10.45 3.22 3.71 8.96 11.94 14.93 -12.71
266611071 28.99651 +31.48898 138.71719 -29.39653 4696 1.28 -2.24 -145 0.59816 -3.96 0.70 0.78 0.092 13.190 25.80 7.79 9.81 -12.64 28.98 31.61 -14.11
51109062 226.81171 +28.11847 42.81837 +59.99937 4422 0.77 -2.21 -333 0.53872 -5.12 0.30 0.46 0.098 10.568 13.12 2.50 1.94 11.39 5.48 12.64 -13.20
220912016 238.57788 +29.97724 48.16859 +50.00374 4741 1.59 -2.19 -172 0.43305 -3.72 0.82 0.98 0.098 12.494 16.72 6.07 7.67 12.83 8.05 15.15 -14.19
139408086 204.29283 +36.11773 78.53947 +76.76780 4478 0.87 -2.19 -248 -0.03803 -4.94 0.38 0.52 0.090 10.234 10.39 2.21 1.99 10.15 7.88 12.85 -13.53
8710058 38.10970 -2.64809 171.89828 -55.60475 4614 1.12 -2.36 -162 0.33023 -4.06 0.88 1.18 0.069 12.930 24.22 10.16 12.10 -19.96 21.63 29.44 -15.08
266915033 69.67738 +17.27926 180.76323 -19.24865 4392 0.62 -2.37 -64 0.44661 -5.28 0.18 0.28 0.210 13.233 45.77 5.54 3.96 -15.06 51.21 53.38 -16.65
146512214 250.08403 +18.24190 36.09664 +36.89256 4474 0.88 -2.28 -319 0.76872 -4.78 0.48 0.66 0.140 11.020 13.55 3.55 3.35 8.16 6.43 10.39 -13.09
232004047 213.31061 +24.08209 28.11144 +71.32929 4746 1.50 -2.28 -76 0.47335 -3.58 0.94 1.12 0.074 12.713 17.53 7.06 9.49 16.63 4.04 17.12 -14.80
